14.0,15.75,15.65,18.6,16.9,16.3,16.1,16.1,19.25,19.55,19.6,19.0,19.15,18.4,19.75,21.25,21.9,21.15,23.4,23.5,24.4,24.65,26.0,23.55,23.8,25.2,25.2,24.9,24.45,21.1,22.1,23.8,22.8,24.55,23.55,21.5
6.05,5.85,6.55,7.9,8.65,9.5,8.95,8.5,7.4,10.15,9.45,11.0,9.0,9.35,9.35,10.4,9.2,8.45,7.6,5.9,6.95,6.95,6.95,6.1,6.0,4.35,5.7,5.6,4.3,4.0,3.65,3.45,4.05,3.9,4.2,4.1
14.35,13.75,13.0,16.0,18.1,16.25,17.2,13.8,13.95,11.75,13.9,14.5,15.7,17.4,16.8,14.75,13.15,11.5,11.4,11.5,11.75,10.9,10.0,9.05,9.65,10.85,10.25,10.8,12.45,10.8,11.25,11.1,13.15,11.15,11.95,9.8
0.75,1.15,1.2,1.9,1.55,1.55,2.0,2.75,2.9,2.1,2.6,2.8,2.35,1.85,1.75,1.5,1.65,1.5,1.55,0.9,1.6,1.5,1.2,1.25,0.75,1.0,1.05,1.15,0.6,0.65,0.8,0.7,0.7,0.8,0.5,0.65
2.55,4.1,4.3,3.0,3.6,4.2,4.6,4.75,5.85,5.2,4.95,4.5,5.75,4.8,4.9,6.55,5.75,5.15,4.6,4.6,4.25,4.0,4.9,4.5,5.5,5.45,6.45,6.25,5.2,5.2,6.4,6.25,5.25,6.6,4.5,5.8
0.0,0.05,0.1,0.05,0.0,0.1,0.15,0.3,0.35,0.5,0.35,0.45,0.25,0.55,0.5,0.4,0.2,0.3,0.25,0.35,0.4,0.45,0.4,0.35,0.15,0.15,0.35,0.25,0.75,0.85,0.45,0.3,0.35,0.55,0.15,0.25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05
0.8,1.15,1.05,1.0,1.05,1.55,1.65,1.1,0.8,0.7,1.4,1.5,1.65,1.2,1.25,1.8,1.25,1.55,2.2,1.5,1.45,0.75,1.15,1.2,1.2,1.1,1.45,1.2,1.15,1.15,1.45,1.35,1.55,1.3,1.45,1.8
0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.05,0.1,0.05,0.1,0.05,0.2,0.0,0.05,0.1,0.0,0.05,0.2,0.0,0.0,0.0,0.05,0.15,0.1,0.0,0.0,0.1,0.05,0.0,0.0,0.1,0.0,0.05,0.0,0.05,0.0,0.05,0.05,0.05,0.05
